	match_url	date	score	home	guests	winner	home_goals	guests_goals
578	https://ru.corner-stats.com/krylya-samara-zenit-st-petersburg-20-08-2011/premier-league-russia/match/17434	20/08/11	2 : 5	 крылья советов 	 зенит 	guests	2	5
579	https://ru.corner-stats.com/cska-moscow-tomsk-20-08-2011/premier-league-russia/match/17075	20/08/11	3 : 0	 цска 	 томь 	home	3	0
580	https://ru.corner-stats.com/amkar-perm-rubin-kazan-20-08-2011/premier-league-russia/match/17371	20/08/11	1 : 1	 амкар 	 рубин 	nobody	1	1
581	https://ru.corner-stats.com/krasnodar-krylya-samara-14-08-2011/premier-league-russia/match/17641	14/08/11	1 : 2	 краснодар 	 крылья советов 	guests	1	2
582	https://ru.corner-stats.com/spartak-m-anzhi-makhachkala-14-08-2011/premier-league-russia/match/16988	14/08/11	3 : 0	 спартак 	 анжи 	home	3	0
583	https://ru.corner-stats.com/zenit-st-petersburg-amkar-perm-14-08-2011/premier-league-russia/match/17433	14/08/11	1 : 1	 зенит 	 амкар 	nobody	1	1
584	https://ru.corner-stats.com/volga-nizhny-novgorod-lokomotiv-m-14-08-2011/premier-league-russia/match/17153	14/08/11	0 : 0	волга	 локомотив 	nobody	0	0
585	https://ru.corner-stats.com/rostov-kuban-krasnodar-13-08-2011/premier-league-russia/match/17503	13/08/11	1 : 2	 ростов 	 кубань 	guests	1	2
586	https://ru.corner-stats.com/rubin-kazan-cska-moscow-13-08-2011/premier-league-russia/match/17074	13/08/11	1 : 1	 рубин 	 цска 	nobody	1	1
587	https://ru.corner-stats.com/dinamo-moscow-terek-grozny-13-08-2011/premier-league-russia/match/17245	13/08/11	6 : 2	 динамо москва 	 ахмат 	home	6	2
588	https://ru.corner-stats.com/tomsk-spartak-nalchik-13-08-2011/premier-league-russia/match/76173	13/08/11	0 : 2	 томь 	спартак-нальчик	guests	0	2
589	https://ru.corner-stats.com/lokomotiv-m-krylya-samara-07-08-2011/premier-league-russia/match/17152	07/08/11	0 : 0	 локомотив 	 крылья советов 	nobody	0	0
590	https://ru.corner-stats.com/terek-grozny-spartak-m-07-08-2011/premier-league-russia/match/17244	07/08/11	2 : 3	 ахмат 	 спартак 	guests	2	3
591	https://ru.corner-stats.com/spartak-nalchik-rubin-kazan-07-08-2011/premier-league-russia/match/17370	07/08/11	0 : 1	спартак-нальчик	 рубин 	guests	0	1
592	https://ru.corner-stats.com/amkar-perm-krasnodar-07-08-2011/premier-league-russia/match/17575	07/08/11	0 : 2	 амкар 	 краснодар 	guests	0	2
593	https://ru.corner-stats.com/kuban-krasnodar-dinamo-moscow-06-08-2011/premier-league-russia/match/17502	06/08/11	3 : 1	 кубань 	 динамо москва 	home	3	1
594	https://ru.corner-stats.com/volga-nizhny-novgorod-rostov-06-08-2011/premier-league-russia/match/17762	06/08/11	0 : 1	волга	 ростов 	guests	0	1
595	https://ru.corner-stats.com/anzhi-makhachkala-tomsk-06-08-2011/premier-league-russia/match/16987	06/08/11	2 : 0	 анжи 	 томь 	home	2	0
596	https://ru.corner-stats.com/cska-moscow-zenit-st-petersburg-06-08-2011/premier-league-russia/match/17073	06/08/11	0 : 2	 цска 	 зенит 	guests	0	2
597	https://ru.corner-stats.com/krylya-samara-amkar-perm-01-08-2011/premier-league-russia/match/17574	01/08/11	1 : 1	 крылья советов 	 амкар 	nobody	1	1
598	https://ru.corner-stats.com/rostov-lokomotiv-m-31-07-2011/premier-league-russia/match/17151	31/07/11	0 : 3	 ростов 	 локомотив 	guests	0	3
599	https://ru.corner-stats.com/krasnodar-cska-moscow-31-07-2011/premier-league-russia/match/17072	31/07/11	1 : 1	 краснодар 	 цска 	nobody	1	1
600	https://ru.corner-stats.com/dinamo-moscow-volga-nizhny-novgorod-31-07-2011/premier-league-russia/match/17801	31/07/11	2 : 0	 динамо москва 	волга	home	2	0
